encoder,level,bias,size
cpp,0,1.0,21093
go,0,1.0,21008
cpp,0,0.5,18124
go,0,0.5,16606
cpp,0,0.05,15578
go,0,0.05,14950
cpp,1,1.0,21339
go,1,1.0,21364
cpp,1,0.5,17724
go,1,0.5,16813
cpp,1,0.05,16449
go,1,0.05,16114
cpp,2,1.0,20125
go,2,1.0,20125
cpp,2,0.5,17419
go,2,0.5,16151
cpp,2,0.05,14478
go,2,0.05,14193
cpp,3,1.0,18636
go,3,1.0,18636
cpp,3,0.5,16351
go,3,0.5,15226
cpp,3,0.05,13951
go,3,0.05,13604
cpp,4,1.0,17435
go,4,1.0,17435
cpp,4,0.5,15534
go,4,0.5,14565
cpp,4,0.05,13931
go,4,0.05,13583
cpp,5,1.0,17563
go,5,1.0,17563
cpp,5,0.5,14799
go,5,0.5,14799
cpp,5,0.05,13029
go,5,0.05,13037
cpp,6,1.0,17019
go,6,1.0,17907
cpp,6,0.5,14601
go,6,0.5,15160
cpp,6,0.05,12561
go,6,0.05,12388
cpp,7,1.0,21441
go,7,1.0,21442
cpp,7,0.5,19348
go,7,0.5,20336
cpp,7,0.05,13449
go,7,0.05,13510
cpp,8,1.0,20722
go,8,1.0,20723
cpp,8,0.5,19800
go,8,0.5,21117
cpp,8,0.05,16686
go,8,0.05,16470
cpp,9,1.0,17410
go,9,1.0,17414
cpp,9,0.5,15924
go,9,0.5,20225
cpp,9,0.05,16113
go,9,0.05,17261
cpp,10,1.0,15151
go,10,1.0,15153
cpp,10,0.5,13404
go,10,0.5,13860
cpp,10,0.05,12186
go,10,0.05,12312
